sample_key,split
0022d3b95d1cf33260e5b4870d399bd8cd5878cfecf8eaab524886e8d935c69c,train
00bb9daad3e93bbf29fbfe982b791747b649a64a58489fa5ee3ec8fe4808beb0,train
011488f14851fb422a6ae17a19efa6a34bb64075ec35e165981fbdabaedf6fe7,train
030cc72e6c278759841b2814196d3876399579baab2de76a16fbe16d4b36fe1b,train
0365772ba07bcbd26716ff3286dd53cfa0d8be2a3bee8b195764dd33eba1a11e,test
037fca341c7073f1281a7a4d7b1535456268fbf5f4626274f67664c4149fb792,train
0434dba4bbfe692d651afeceb527e7cdc3cceb4e73444abdb4a77708dd37da31,train
04b9974d4d61d9c82ab6f01234ab62b6e71f90cde2a760b5d2b6e894046ecf05,test
050cc9e4b1119ce7efb4ddd4542474b11daf132be44ce8af30df36f114757076,train
052962072a7b4cad57159ad7075c577ff5799627e8c49c400ee8fbf8ac5d4888,train
0571f8c036e1661d5dfc697dd228f02bd4517b22b35f4c48974bc11e4a7794d3,test
06b8226925c60fcadc8850bbd86bf9e645e02b81e3e43b504fbd53189c393584,train
071d8f4c812e9875256179d9ac273dc20a238f294b9792c6d5c4d6f0d24c793a,test
07e3daa0129dc9150c111312dee8f29f249b471e097c592175e8a31bdf558313,train
07fda6b95d11269ca5394791702d622939bfad6f8fbf307e2026a95ea2a95031,train
08471f5a716b108960b5f58a30598c43e4f1e144417f215d2abc4af1c6a89586,test
085875cef73f886bfd058243a9cc93eda17fe4360f1eff17a58f47737f56a32b,train
088ce78d5d719642883571205aa8bfd699d6c063c7a009b04771147a4b73aaf4,train
08a592708238bfbc5ddaaadea341621072eb57d9f38f45ed4dd4a84c7a555582,val
08d93776b31615a70e041972b71f007f1ffd05d9346aa50dfdc253ffee68bb9e,test
092bc757b3e274a723f3c60a63a47744c76a279c97ee6b580b97883ebeea6854,train
0967aa323711d8ac68957f377cd154ecc6266657fc39ba13ec7544e81a3ef802,train
0af52522099c43decd419251cd65b2ab3fd356ad386c3e921344fcaba9508fa8,train
0b1900e2bbc91570946d39959840d7f7c817171cf1e967ecbf35c8c700cdd97b,train
0b252010660a68d3572b5df95bae42e40d2aa45422a1d91d219214317ef5e199,test
0b28c6cad12847ebfe8e0ef665dcb395679bb107cff700633706ec54290d0d27,train
0b512384bffbf113c128e03eec85451dc954614a586cd9121c3d25c5fcbb09db,train
0c5ad79e5e9b513744d3aa0580aedefca00922c9a0043a3a84f1bcbc50469e9c,test
0c76df149f7865ea18b880cf9229e254dad438f3d814eeee096de5818ba5b049,train
0cf937ee1033237d52f02eb2c5b299571c3f28e6ec33548d1ab9bbff8896d43d,train
0cfff04856759d1ce52c1043c9143db392bcc51367736c8aa5d861d813552655,train
0d052f77e2538a28a692f728aa573320a660ccf52656ff133c8da15c3855d8ec,train
0ec3509e9e2972f796d9b979eb72053839973ba61f08e7d9b391ea88e7bdc6b3,val
0edde3eb6373943cb67278dc0202c4ff2ed933410ac7d82cb84d601375e12b25,train
0efc30ec252703b076254d9b39baa85a8bbebbbad2a7e89b1998c66a0723f8ee,train
10034557316ee758afd90acf66a085cb678b4639d1f895b519020869ce78c43c,test
10f508b5cfdb432cbe404559b8aebce4d0268f8bc1facc42f18760b4fe3ec808,train
111d1bfc09fe7f9d5c287c5f9102170e44f5aaebe62465d9fb06d02b2fa99190,train
1232e13d07af265a2bdf7ebe3ebae2e65c1894a3209c39a3b77da4dbbf1247b6,val
12588bb12c05565ede197db5d8db8ba5b98df7fcf6e6cff67f95e69eaf1a1e38,val
12922a7f84132a5514c922ef3a57218f8991763e19ea81911e0d99af966154c1,train
13a12939c25952a94bf0181e0a863a8302c4c76afda424497e995efb983ca299,train
13b0fe386469ea2d1388bfa38e61978255afe520337b4442c1d17832afab341c,train
13bb2731c14411380cab6b8395d46d248535b508feb67c1604198bd8bcedceb1,train
13de120f9928d3951244401c9a16f9099b5799b884bd33c8a92ec0a808e192f1,train
140cb643ac78fce1a73c9678e7ca5c5df133e6c4413c6177308ccc8c7423a74e,train
14119507b93edb834d2c385c9769850c81980a53b8ef38455c43e058b82ee2ae,test
141e58231db68f18c7095f78474e9678365dcf643fe9ef396608bce7283cb542,test
142050feb526ff974a575a4d5b256eddd474c6410dcca6cc5972aabc7dc54693,val
14d5011cf5091bcbb91bf2e0ebd73d2529e86eb06d453e42c99e994b52bf317b,test
15265ae074d9959e023762c4298ce65d27bc7a558fb5f72978ce10309462194a,train
1629fe52a594fc7a1bd419e5d3fcf8bd91cd696299d678cb915c42e2fe768e5e,train
163d23d892e778f05d262176b8c0bbb28153c8f053b7e0458d500884d077910f,val
169e9aa51b70913758a680cbbf714f4aeaa84d7b5391c72065b2e4ea10ffc2e1,train
16da189fd91a1ea578296f048f80528b9def09298aae45204c8d860e5094eeee,train
179a3d689726138ae24310eb30e48df64b69e4d3f8c380f62f486bc32f7daec5,train
1814c79696e2ffa3f52166b21667486eeff9e6bbe9e7f71a889b3aa0b96554b4,train
18ada7eb7b251809691be7d0558b879507ef6b287d2caaa3a1a7021c7907536e,train
194c6b96b1d41c2b6fd9e4486635cf1c3a7053a0d8c8d711849947733d0d9a09,test
198355d6efbd87cfab8d0d5e87d54c97f9caf9d468d62f3523ddf80c664e29c7,train
19c735bc251170c15a37bfc5f4edef11138992ea7de9053559146d51d9af7a05,train
19e7668a488c30bf6ccddc9f91288003319c0ef355238d3b7938e8e09dc38e36,val
1a45222db4237f80c70ebdbae71401c930c41a693b10248edfa44d9cc24c1c0e,train
1a48d2cdd9af37be2cffbd1511cac7249bf1c18ccd116bfbf46d93f58b5c1c9f,val
1a563986c3ffed072516d3f63cb0f28370dae9384be48cc221b885584f664c12,train
1a6687dd1c481fa8fedef72cca231f6de08b32d47f64c2c47ed08c39f39e948a,val
1ab9bbf4cf96e3b7ffcf57971136d34a6dba4191949ba7d87fbf787fd0ee3a91,train
1afa841bb3d99c7986ea93f76f2c79ce4bbf52131b327218d2e0a6acb9a192ba,test
1afad921357acb522e1deadfc8f69beb8c8ccf187af406aee1a4b64d5bbf79b5,val
1c4530955afb5468230b719e461d7c9eca5837df0b5e7d2edef39efa3e7e3a57,train
1cb89188f9f13095a4ed8f64cb96ed88f203c9775803cd0b09116aa90d3090c1,train
1cd6ebee8392f861bc5640a38017eddee5a02bb6bb55de29a273ef3dd2bd85eb,train
1dc26d4b3ab1363dd8c7bc5dc53fd9a10ce97ca2fdc5c7b904c9adf708c407ab,train
1dd115e2addbd6de364be36158ee62b7591d5b1a97dc0131e48961df5e7249d6,train
1ea1825d9c766d448745b27ccb374d74a4d85dcb7fc69be123afefcf5b048a8c,train
1f20d6e0b334a05496045f531ab5cc48b84d96c28322afe70f36f1c2d85f3d6b,train
2071d6b74fa944a751a591b4779eb24ee827ecedef3ccc93bc9ad6175cf7e466,train
208409ac028fd5c83d1e3020882240fcd9184ad9d9cb0af9e088ef428e86b646,train
2097662ca4099fa38d5ecd2cb67f95f7c207c265f47d07400663530069afe72a,train
20e623345811baac84fdc539dc248c9da0e3750d024f496264fdfab042219804,train
213a7ccc0312a510d3cd92d3d324a6f5de71254067d68ebbce45f5f01cb03884,train
21d9aa17dc1e63ba9542a4ec3db4758d53812921256fce6e7d5944ed9856d87b,train
22300bbb83c0e1ee589b40ac92eb476f85b3c86d3d53ce52a190229a9cc32e7b,test
223a46d73ec97645fd62ce77a606dd75741638c4bed228f61ea8d27bf215f50f,test
2272205657dde0fb82cc1e7a07536040383540137b5ff1d28b140d49cf058ac3,train
2274248f5d93f6d33a5026ddb02374e4a18d8c22438fc8217713f167aca4eaa5,val
22a8fa541bf831b0b9280fc60adfb98fd0cfd701f35677c95689d74586ee6b8e,train
230d3af932aa21d7c5fa275c40b5bcd6b368d6cae8f6cc2988d9143e5cefab0d,train
242b0634e48c7d07ca04bf846556c4bc48f48322fc945c15e5520c03f83a2673,train
244d6003af820cb4a7266643c21b8971ff3f877023a2679008ceaa3bca9a7fdb,train
24b090d51118f1a5ab9c1c6417f178a249835525cfe00ee5dca23caf8269e12e,train
24b3e7fa3a1da0fb38e18fb352647db99d00414814ac3ffa598f8152d74fb82c,train
25707039a900c94eeb30537fb6bd2fc53e416275e4fb583f21ebfce9aa036d24,train
26275be9ffe957c289af9814c80583360d90762e0d2c4e0d242b531e3bfc1bc1,train
2702971f39284c66360022c6218250dd5dc18c02d9facd34a3cc742c31838661,val
2733e921414af2a2ab51913df8813ec3a8ffc82e03965c3305407f0e3865bc7b,train
279ad1730dd9c00bc59b315f46afe2d54f8168e0769d306cff228144b7f4710e,train
28579264213ecbb399bca33a545af53ea318c142223302568f3e50813d13c514,train
286661ac7c556ff56ca5e5fcc30bc3f1bc1d92502081a1969f168abb3d62c537,train
287c4acdea2101367c7e744735bddc5b118952be4bbcb8975fb2b175d6efb24b,train
28e24caf25107338e99569bc989c60be7f684092f604d83dfada2745a51c14a7,test
2981fcdeea20e2df4dfcf5e048c7bf96ab43859a4896384a069f61ab77d05125,train
299babe5b6eeb50e19bc4dc7fd10dc591879f37836050c527f8e692bf54121ed,train
29d7b83d88924fc42582e6ffcd4c39ea9a4d196e5ad35eb00afbb111f2a2dd44,train
2a4c49e95fd7c127f7096ee2261ec997845c6206bd94f9ec59d109510712cba8,test
2ac9f380e022b1de5743d61ff91a2eea7f780ec39c6367e1cc66aaa162b297ed,val
2b271f555a036c7eb6e04da63a6dc0eb6119ba982fb8f5ca644701b2a49d49ad,train
2bb6ad679a651a0f2d3b541e4b60f2078e507cd22fd4ac56258945cf0d75893e,train
2c2cea42f03de9ff9c0a0c045d864168d91790d2ea0cc94765a02adbba4a4070,train
2c5088bc4abf641fd2704c1410c9db2c08b38abc290a4e3408c1cf14d4f95ab0,val
2c6e41625a7038e4a432ded153fea8455574241668c530dc502f35d3577f5c9c,train
2c72aaea5ec4fd32443f1236eb458a20b28c89421ad191e585ce1c33538c1e83,train
