sample_key,split
000579f233fc0f9d0915edd538b0f049d8188c1578ee152a9444e613e18a46e3,train
001fad0d33be76eaca83b34ddb703572ef03b89e9e1d2ef3a58211990f101954,test
003ee28823f07a63c202fcfb755de2809e20365e8b3147fc05780a36489db3ef,test
00b01ad21dee11318d1ef32458f7e0e3581b9191d2522d2c18332c4325795332,train
01b01c7f6cce724e4db3a030896429f621bcddd5b156f73f3d2cbe64d607cdfa,train
01df0577e825d53b6375d3e5dd43ce9292b98076e6454bc7eb0840da93c69515,train
022d0016466d2e92e35b67287baf334d71376838234ab50e02fb40994010e644,train
0267c53e47c6ea3e052fc51516b30fec82d5a59a0a0bb274ad60831194ae8197,train
028093a95b19699f500c627107e0fb189e5055704f489965e995497bb3b2b270,val
0284bf37c66523d43b3110384a5e1bd8f77328f74413a855dd04e9415ce6a045,train
032791e47d7bb1d40e9251ecb7de1b5b6f258cd17e505f475ac4de6243496466,test
033f783903137f3581564ac9d0840b63fcd107804080b90d8a3b8023f4f3ddab,test
034b471ff4418d8aac9cd0136b44c5e5709062cc871a50f011d585c790452c32,train
03f6b4355553cf1aa7dfc764e21cc1968d4dfe9b9c932a41f086ec665f614122,train
0431d66874a032ff7437c760de142dabbab1dcb0bdaa7f2e07291a78693ec2ee,train
04ea7b420ff148d1ddf7dc8d1c7b94205b9961ca1c7bff1a81989a49880a7277,train
0548546062aaebf28b7a9b79652721f8265e26fe994210dda763170cf07a4812,test
05660d872eb1005ea10a7af08723ecb61b0890fe02a3c0497d81e6f6ed690c31,train
05fed7f2e98886691107708c58281f0841f6bf147a47759f1063880277f58991,test
0605c38f3f70a880a5eaf21995a1e635e5278323aa84b3e844021c73ccda3b7e,test
0624b8d87b8bfe93ba3b5f34ecd6e0aa3357a37e3cef133b6195084783d8b930,train
064fb6dfc1200db099d5424dbad9e489b4729fde586299c5f3cba9b10ad4a431,train
06db4941495ba062a9848a6017401450a336270e70b90719d0f8933ef2d29052,train
07666d992d46bb7b08a6b246a0d59637474a33a5ce85a66e21fff4e191fbcd2d,train
07a29598c3736cb9944c3426e2e9959778002db9f4d8cef19c7f5605eafbc267,train
082cb89d99fad97d9669a89e2ed56a42695999e6e38bccd83526b082559bf537,val
086a7b51cf96928c0d0ac58a2255b9ee36d2c31990a0dd7845834f0e18ded25d,train
0897e4bdde3458f2b9da78c2ba79d36873d7c82d7a832ee33e77a82581dc504b,test
089975c9df0e028e91480f3af3fbc3226d0f7ad684f186474ec97e6806baf094,train
09bc031429044a0e9ab1a23dfdbef2f70439fe0a9e92d07d6324b24872ad330d,val
0a8595864b7e80d645118a3c0b76e6e5c78f7dddaf2c793171c5b22cacd3f2d3,val
